productId,userId,rating,productName
135,78,4.581554,Product 35
102,28,4.418771,Product 2
122,28,4.070611,Product 22
136,28,3.7854495,Product 36
102,48,4.446965,Product 2
111,48,4.256369,Product 11
136,48,3.8835123,Product 36
130,88,4.3062844,Product 30
147,88,4.1954117,Product 47
111,88,4.039323,Product 11
130,8,2.6727805,Product 30
122,8,2.597007,Product 22
147,8,2.468359,Product 47
110,38,4.749057,Product 10
102,38,4.627123,Product 2
111,38,3.8566623,Product 11
111,98,4.6692743,Product 11
113,98,4.258348,Product 13
127,98,4.1335654,Product 27
142,58,4.6312656,Product 42
128,58,4.560013,Product 28
139,58,4.394147,Product 39
122,68,5.431741,Product 22
120,68,5.108773,Product 20
121,68,4.961456,Product 21
126,18,4.1419663,Product 26
127,18,3.559587,Product 27
140,18,3.243438,Product 40
109,19,3.4201193,Product 9
107,19,3.3018868,Product 7
130,19,3.1809518,Product 30
105,9,4.5477986,Product 5
112,9,3.665617,Product 12
139,9,3.5841637,Product 39
141,59,4.555771,Product 41
107,59,3.9699843,Product 7
106,59,3.963981,Product 6
117,39,4.762711,Product 17
119,39,4.713142,Product 19
127,39,4.6854024,Product 27
148,49,4.406688,Product 48
116,49,3.879468,Product 16
121,49,3.878242,Product 21
141,69,4.5667257,Product 41
111,69,3.6129034,Product 11
107,69,3.6113524,Product 7
110,29,4.310628,Product 10
128,29,4.009771,Product 28
143,29,3.9614885,Product 43
109,79,4.818187,Product 9
107,79,4.695413,Product 7
114,79,4.651162,Product 14
128,99,5.0624194,Product 28
129,99,4.7226624,Product 29
134,99,4.4182415,Product 34
124,89,4.65067,Product 24
113,89,4.418679,Product 13
121,89,4.039236,Product 21
